Message_Body,Label,Sub_Category
You have received Cash Out Fee Cash Back for Square Pharma Disbursement.,Ham,Real_Nagad
Nagad Lottery Winner! Your prize: 4366.78 BDT. Claim at http://nagad-lottery.support-nagad.com,Spam,Lottery
Your Nagad account will be BLOCKED. Verify at: http://nagad-verify-now.com,Spam,Phishing
"Nagad user 01322577795 sent you Tk 49134.1.

Open Nagad account within 48 hours from nearest Uddokta to receive balance. Call 16167 for help.",Ham,Real_Nagad
"Disbursement amount approved - Loan

Tk. 2162.14

Bal Tk. 22790.56

Trx ID : AWYB03NO

23/02/2026 23:56",Ham,Real_Nagad
You PIN has been RESET successfully. Please dial *167# to SET a new 4 Digit PIN.,Ham,Real_Nagad
Nagad detected login from unknown device. Secure your account: 01518891112.,Spam,Phishing
"DMO verification.

Tk 22728.86

Passcode: 4824

Mob: 01576694569

OTP: 966785

Expire date: 18:43",Ham,Real_Nagad
"Dear user, you have a PENDING refund of 24346.75 BDT from Nagad. Call 01827603971 to receive.",Spam,Fake_Refund
"Cash Out successful. 

Tk 21351.96

Uddokta: 01478664331

TxnID: 13C71UD2

Fee:35.23

 Bal: 7961.59

08/06/2025 21:41",Ham,Real_Nagad
"Bill Payment to BTCL Broadband is successful.

Amount: Tk15693.82

Fee:19.26

TxnId: 3F2XHDCV

10/03/2026 10:01",Ham,Real_Nagad
"Nagad user 01645021185 sent you Tk 31556.18.

Open Nagad account within 58 hours from nearest Uddokta to receive balance. Call 16167 for help.",Ham,Real_Nagad
Nagad refund of 2891.17 BDT is waiting for you. Confirm PIN with agent: 01914154345.,Spam,Fake_Refund
নগদ হেল্পলাইন: আপনার অ্যাকাউন্ট ব্লক হওয়া থেকে বাঁচাতে: http://verify-now-nagad.net,Spam,Phishing
URGENT Nagad notice: KYC expired. Update now at http://nagadbangla-nagad.net,Spam,Phishing
অভিনন্দন! নগদ লটারিতে আপনি 10398.59 টাকা জিতেছেন। এখনই কল করুন: 01556832975।,Spam,Lottery
"Payment - Bangla QR Successfully Received 

Amount: Tk 31394.59 

Txn ID: 9A8LYTUA 

Date & Time: 10/04/2025 05:06 

Merchant Name: Shohoz 

Merchant Account Number: 

01372856695 

Terminal ID: T56777 

Issuer Name: Eastern Bank PLC",Ham,Real_Nagad
"You have received Tk 21701.91 from MyGP.

Balance Tk 35803.39

TrxID VJLDNHM6 at 24/02/2026 02:28",Ham,Real_Nagad
Nagad Security: Unusual activity detected. Share OTP with agent 01986395727 now.,Spam,Phishing
"Disbursement Received.

Tk. 16111.98

Trx ID : ICKHHUZ8

Balance Tk. 64632.63

10/12/2025 02:36",Ham,Real_Nagad
Nagad helpline: Apnar balance frozen. Unfreeze korte OTP: 01462420128.,Spam,Phishing
সতর্কতা! আপনার নগদ অ্যাকাউন্ট বন্ধ হওয়ার আগে যাচাই করুন। এখনই কল করুন: 01941621630।,Spam,Phishing
URGENT Nagad notice: KYC expired. Update now at http://nagadbangla-nagad.net,Spam,Phishing
"B2B Transfer Successful.

Amount: Tk 49894.36

Receiver: 01850988027

TrxID: 278EQE12

Bal: Tk 37330.72

04/03/2025 15:42",Ham,Real_Nagad
"Your PIN setup has been successful and Virtual Card number is 8923511548015064. Do not share your PIN with others. For more information, please call 16167.",Ham,Real_Nagad
"B2B Received. 

Amount: Tk 1537.97

Sender: 01937158216

TrxID: 10C9IX6R

Bal: Tk 61712.95

18/07/2025 10:41",Ham,Real_Nagad
Nagad offer: Send 41.78 BDT to 01981236015 and get 28426.59 BDT instantly!,Spam,Phishing
"B2B Received. 

Amount: Tk 33779.61

Sender: 01481117494

TrxID: XLELCACK

Bal: Tk 78682.82

17/02/2025 11:58",Ham,Real_Nagad
You sent 31563.3 BDT to 01574744267 via Nagad. Call 01574744267 if this was a mistake.,Spam,Fake_Transaction
নগদ হেল্পলাইন: আপনার অ্যাকাউন্ট ব্লক হওয়া থেকে বাঁচাতে: http://verify-now-nagad.net,Spam,Phishing
Apnar Nagad theke 34580.52 tk suspicious transaction. Cancel korte OTP: 01790369568,Spam,Phishing
"DPO verification.

Tk 36200.5

OTP: 788457

Expire date: 18:58",Ham,Real_Nagad
"Disbursement Received.

Ref: Stipend May

Amount: Tk 12683.41

TrnxID: UQ7X7B7P

Balance:TK 79609.5

21/05/2025 03:43",Ham,Real_Nagad
Apni 36114.22 tk disbursement er jonno select hoyechen. Verify: http://nagadbangla-nagad.net,Spam,Phishing
নগদ অফার: 11145.34 টাকা ক্যাশব্যাক পেতে আপনার পিন শেয়ার করুন: 01722070789।,Spam,Phishing
Apni 28930.39 tk disbursement er jonno select hoyechen. Verify: http://verify-now-nagad.net,Spam,Phishing
"Congratulations! You have received Reward for DPS Referral to 01686777862.

Tk 377.13.

TxnID: YEHVDO9K

Bal: Tk 16912.75",Ham,Real_Nagad
Nagad detected login from unknown device. Secure your account: 01618822217.,Spam,Phishing
"Congratulations! You have received Reward for DPS Referral to 01813154779.

Tk 445.8.

TxnID: OKWOALF4

Bal: Tk 46833.24",Ham,Real_Nagad
"Dear user, you have a PENDING refund of 27246.31 BDT from Nagad. Call 01678072679 to receive.",Spam,Fake_Refund
জরুরি: নগদ থেকে 17154.55 টাকা অজানা নম্বরে ট্রান্সফার হচ্ছে। বাতিল করুন: 01321181932।,Spam,Phishing
অভিনন্দন! নগদ লটারিতে আপনি 7886.73 টাকা জিতেছেন। এখনই কল করুন: 01778014605।,Spam,Lottery
You have received refund of tk1224.11 Trxn ID BEG1CJ8P from Shajgoj for your payment made on 05/12/2025 12:00 of tk 34906.03 Trxn ID KNHPVRWB.,Ham,Real_Nagad
"You have received Tk 45186.73 from MyGP.

Balance Tk 52841.38

TrxID W4EMM9VA at 25/09/2025 23:16",Ham,Real_Nagad
Sorry! Your PIN reset attempt reached maximum limit. Please try again after some time or call 16167 for help.,Ham,Real_Nagad
Nagad Lottery Winner! Your prize: 4366.78 BDT. Claim at http://nagad-lottery.support-nagad.com,Spam,Lottery
"Disbursement amount freezed - Loan

Tk. 26068.65

Bal Tk. 66516.82

Trx ID : KDZ4PPJ5

23/05/2025 23:42",Ham,Real_Nagad
সাবধান! কেউ আপনার নগদ অ্যাকাউন্টে ঢোকার চেষ্টা করছে। কল করুন: 01354382844।,Spam,Phishing
আপনার নগদ থেকে 36991.62 টাকা রিফান্ড পেন্ডিং। গ্রহণ করতে কল করুন: 01665445544।,Spam,Fake_Refund
সতর্কতা! আপনার নগদ অ্যাকাউন্ট বন্ধ হওয়ার আগে যাচাই করুন। এখনই কল করুন: 01756210890।,Spam,Phishing
Nagad Lottery Winner! Your prize: 35254.09 BDT. Claim at http://nagad-lottery.mfs-reward.com,Spam,Lottery
"Deposit t of Tk 4263.41 to your VISA Debit Card from 01912360383 is successful.

TxnId: 1TQDJU0S

30/01/2026 05:04",Ham,Real_Nagad
Nagad account verify na korle block hobe. Ekhoni call korun: 01764362766.,Spam,Phishing
Nagad lucky winner apni! 23933.22 tk nite WhatsApp korun: 01605030615.,Spam,Phishing
Nagad special reward: 49269.32 tk apnar jonno ready! Claim korte: 01558112389.,Spam,Lottery
Nagad detected login from unknown device. Secure your account: 01618822217.,Spam,Phishing
"Bill Payment to GP Internet is successful.

Amount: Tk 11820.17

Fee:3.53

TxnId: TDN1TH1X

Roll Number:389854

Name:Rahim

Date: 10/04/2025 03:50",Ham,Real_Nagad
"Bill Payment to GP Internet is successful [test purpose from Redwan]

Amount: BDT 42209.27

User ID: 64262755

Fee:3.68

TxnId: 40KZUJ2X

24/07/2025 11:30",Ham,Real_Nagad
"B2B Transfer Successful.

Amount: Tk 30779.71

Receiver: 01758741199

TrxID: 0TW87S34

Bal: Tk 77646.55

21/04/2026 12:57",Ham,Real_Nagad
"Transaction Commission of Month March 2020

Bonus

Tk 31830.54

TxnID: 8BKXCGW1

03/11/2025 05:34",Ham,Real_Nagad
"Received Tk 3993.8.Visit Uddokta point, open Nagad account, receive balance.For more information, please call 16167.",Ham,Real_Nagad
"DMO verification.

Tk 33038.39

Passcode: 3573

Mob: 01410045227

OTP: 837135

Expire date: 19:06",Ham,Real_Nagad
"Lifting request approved.

Tk 44037.76.

TxnID: 8Y9N81DJ

17/02/2025 02:15





ইউনিকোড চেক",Ham,Real_Nagad
URGENT Nagad notice: KYC expired. Update now at http://nagadbangla-nagad.net,Spam,Phishing
Nagad offer: Send 43.01 BDT to 01983735978 and get 45546.39 BDT instantly!,Spam,Phishing
"Your PIN setup has been successful and Virtual Card number is 7189577891147800. Do not share your PIN with others. For more information, please call 16167.",Ham,Real_Nagad
"Payment to Foodpanda Bangladesh is successful.

Tk: 47883.0

TxnID: D0MZHRUP

Balance: Tk 13218.93

19/06/2025 15:09",Ham,Real_Nagad
সরকারের বিতরণ করা টাকা আপনার নগদ অ্যাকাউন্ট এ জমা হয়েছে।,Ham,Real_Nagad
"Add Money Successful.

From: AMEX-Dutch-Bangla Bank 

Amount: Tk 11075.57

Mobile: 01420294968

TxnID: 6D7WDJV0

Balance: Tk 75074.08

04/05/2025 01:30",Ham,Real_Nagad
Cash Out of 19601.68 BDT from your Nagad account. TrxID V3WAGB2R. Not you? Call 01625946391.,Spam,Fake_Transaction
"Dear Customer, your Nagad wallet has been restricted!

Please re-submit KYC with your OWN NID to use all Nagad services.

For more information, please call 16167.",Ham,Real_Nagad
"Your PIN setup has been successful and Virtual Card number is 4455453381845134. Do not share your PIN with others. For more information, please call 16167.",Ham,Real_Nagad
Nagad lucky winner apni! 11160.47 tk nite WhatsApp korun: 01611759566.,Spam,Phishing
"B2B Received. 

Amount: Tk 49357.43

Sender: 01889871278

TrxID: M9BJUDL3

Bal: Tk 1950.08

26/03/2025 11:58",Ham,Real_Nagad
"Mobile Recharge Failed.

Amount: Tk 26514.23

Mobile: 01449912028

TrxID: O6Q0USWO

Bal: Tk 47433.28

01/02/2025 13:42",Ham,Real_Nagad
URGENT Nagad notice: KYC expired. Update now at http://mfs-reward-nagad.net,Spam,Phishing
Your Nagad account will be BLOCKED. Verify at: http://nagad-support-nagad.com,Spam,Phishing
সতর্কতা! আপনার নগদ অ্যাকাউন্ট বন্ধ হওয়ার আগে যাচাই করুন। এখনই কল করুন: 01756210890।,Spam,Phishing
"Disbursement Received.

Reference: Salary April 2026

Amount: Tk 27160.92

TxnID: W689MW68

Balance: Tk 28862.1

25/01/2026 07:58",Ham,Real_Nagad
নগদ সিকিউরিটি: আপনার OTP শেয়ার করুন এজেন্টের সাথে: 01614455748।,Spam,Phishing
Congratulations! You won 11359.75 BDT in Nagad Lucky Draw! Call 01529448927 to claim.,Spam,Lottery
"Deposit t of Tk 1194.79 to your VISA Debit Card from 01975649140 is successful.

TxnId: 4R6S34A1

12/07/2025 17:09",Ham,Real_Nagad
Welcome to the Nagad family.You will get a confirmation sms within 72 hours.,Ham,Real_Nagad
Apnar Nagad theke 26743.81 tk suspicious transaction. Cancel korte OTP: 01778887494,Spam,Phishing
"Payment - Bangla QR Reversed 

Amount : Tk 16714.08 

Txn ID: I2DNODKD 

Reversal Trxn ID: 3HHGWHP0 

Date & Time: 02/05/2026 16:06 

Original Trxn Date & time: 02/05/2025 13:28 

Merchant Name: Shajgoj 

Merchant Account Number: 

01092866197 

Terminal ID: T14612 

Acquirer Name: BRAC Bank",Ham,Real_Nagad
"Congrats! You've received Cash-Back 410.47 BDT for Cash In of 8977.59 BDT

Bal: Tk 10106.16

25/08/2025 17:48

For Details Call 16167",Ham,Real_Nagad
"Welcome to NAGAD family.

Now you are entitled to use all NAGAD services.

For more information, please call 16167.",Ham,Real_Nagad
Nagad refund of 10435.06 BDT is waiting for you. Confirm PIN with agent: 01530376074.,Spam,Fake_Refund
You are referred to open Nagad A/C by Uddokta. Dial *167#  or download App (https://bit.ly/2qysI1P) to set PIN within 24 hrs. Detail 16167. T&C Apply,Ham,Real_Nagad
আপনার নগদ ওয়ালেটে 33245.74 টাকা পেন্ডিং। গ্রহণ করতে কল করুন: 01343201488।,Spam,Phishing
নগদ হেল্পলাইন: আপনার অ্যাকাউন্ট ব্লক হওয়া থেকে বাঁচাতে: http://mfs-reward-nagad.net,Spam,Phishing
Congratulations! You won 48767.21 BDT in Nagad Lucky Draw! Call 01856703819 to claim.,Spam,Lottery
"DPS Redemption Successful

DPS A/C: DPS416611

Transferred Amt: Tk 44837.91

Closing Fee: Tk 100.42

TxnId: 5ZXQOMTS

27/01/2026 10:07",Ham,Real_Nagad
"Deposit to VISA Debit Card via Uddokta is successful.

Card: **** **** **** 2166

Amount: Tk. 23637.37

Fee: Tk. 5.84

TxnID: EYTO5F9M

19/10/2025 14:09",Ham,Real_Nagad
ALERT: Your Nagad account is suspended. Call 01962659626 immediately to restore.,Spam,Phishing
URGENT Nagad notice: KYC expired. Update now at http://support-nagad-nagad.net,Spam,Phishing
"Zakat sent.

To: Shohoz

Amount: Tk 35054.48

TxnID: 5ZLM36VF

Balance: Tk 32434.26

26/11/2025 06:56",Ham,Real_Nagad
"Dear user, you have a PENDING refund of 43573.81 BDT from Nagad. Call 01423131055 to receive.",Spam,Fake_Refund
"DKYC re-submission request.

Username: Rahim Uddin

OTP: 597889

Expire date: 18:42",Ham,Real_Nagad
নগদ অফার: 10990.26 টাকা ক্যাশব্যাক পেতে আপনার পিন শেয়ার করুন: 01931854703।,Spam,Phishing
"Dear Customer, your Nagad wallet has been restricted!

Please re-submit KYC with your OWN NID to use all Nagad services.

For more information, please call 16167.",Ham,Real_Nagad
"Congratulations! You have received Cashback.

Tk 291.79

TxnID: TOTHLQH7

Bal: Tk 34220.27

11/08/2025 12:05",Ham,Real_Nagad
"EMI paid successfully.

DPS A/C: DPS508615

EMI: Tk 4441.74

TxnId: A806B4GA

DPS Balance: Tk

26412.48

13/03/2025 22:30",Ham,Real_Nagad
"Disbursement successful - Loan

Tk. 29690.81

Bal Tk. 6894.32

Trx ID : O4S41CRO

15/01/2026 10:53",Ham,Real_Nagad
"Dear Customer, your Nagad wallet has been limited!

Currently, you are only able to perform limited transactions such as Cash In and Mobile Recharge.

Please re-submit KYC with your OWN NID to use all Nagad services.

For more information, please call 16167.",Ham,Real_Nagad
"Transfer Money - NPSB Successful 

Tk 32275.14 transferred

To: Ac. 01830300221, Shohoz

NPSB Fee: 16.58 (Incl VAT)

Ref: REF55220 

Txn ID: AFQSDQ26

Balance: Tk 38510.35 

Date & Time: 14/06/2025 08:47

Target Account Number (Masked) : 01552115010 

Target Institution Name: Pathao 

Nagad TrxnId : 0NXIDB5Z 

Reference: REF25850 

Amount: 32288.74  

Total Fee (Fee+VAT): 5.27 

Transaction Date & Time-DFS: 23/08/2025 21:13 

New Balance: 16026.03",Ham,Real_Nagad
URGENT: Nagad KYC update korun ba permanently block hobe. Agent: 01947520651,Spam,Phishing
ALERT: Your Nagad account is suspended. Call 01874706526 immediately to restore.,Spam,Phishing
Nagad Lottery Winner! Your prize: 35513.83 BDT. Claim at http://nagad-lottery.mfs-reward.com,Spam,Lottery
শরণার্থী শিবিরে মি. মুহিবুল্লাহর হত্যাকাণ্ডের ঘটনায় শিবিরে বসবাসকারী,Ham,Real_Nagad
নগদ অফার: 10990.26 টাকা ক্যাশব্যাক পেতে আপনার পিন শেয়ার করুন: 01931854703।,Spam,Phishing
"Dear user, you have a PENDING refund of 24346.75 BDT from Nagad. Call 01827603971 to receive.",Spam,Fake_Refund
"B2B Transfer Successful.

Amount: Tk 47915.8

Receiver: 01724228355

TrxID: 4DC0FP67

Bal: Tk 63528.43

24/12/2025 20:09",Ham,Real_Nagad
"Payment - Bangla QR Successfully Received 

Amount: Tk 16307.91 

Txn ID: S9B7RY0C 

Date & Time: 06/04/2025 10:29 

Merchant Name: Shohoz 

Merchant Account Number: 

01814625772 

Terminal ID: T62166 

Issuer Name: Pubali Bank",Ham,Real_Nagad
Nagad offer: Send 50.21 BDT to 01349759230 and get 45369.83 BDT instantly!,Spam,Phishing
"Cash Out Received.

Amount: Tk 41423.05

Customer: 01745403143

TrxID: 65WVJX8U

Comm: Tk 12.15

Bal: Tk 4298.14

03/09/2025 05:33",Ham,Real_Nagad
"You have received Tk 46332.83 from MyGP.

Balance Tk 15589.05

TrxID BASF5EHL at 23/04/2025 02:46",Ham,Real_Nagad
"Payment - Bangla QR Reversed 

Amount : Tk 2464.1 

Txn ID: 9IDYREX9 

Reversal Trxn ID: BOBCD11R 

Date & Time: 08/05/2026 10:24 

Original Trxn Date & time: 18/02/2025 14:32 

Merchant Name: Chaldal 

Merchant Account Number: 

01775092085 

Terminal ID: T53855 

Acquirer Name: Islami Bank",Ham,Real_Nagad
"Bill Payment to Titas Gas is successful [test purpose from Aumi]

Amount: BDT 27045.05

User ID: 16003970

Fee:18.02

TxnId: MCPSILN3

01/08/2025 02:41",Ham,Real_Nagad
You are selected for Nagad Eid prize of 30682.56 BDT. Call 01475992444 within 1 hour.,Spam,Lottery
"M2B Received. 

Amount: Tk 8452.04

Merchant: 01657455259

TxnID: T11PHP0X

Balance: Tk 19953.02

24/03/2026 01:28",Ham,Real_Nagad
Notification Template for S 02 Special Govt Disbursement,Ham,Real_Nagad
"Dear Rahim,<br/><br/>Merchant group has been created successfully.<br/>Merchant Group Name : <b>E-Commerce</b><br/> Merchant Group ID : <b>MG8506</b><br/><br/>Thank you.",Ham,Real_Nagad
"Bill Payment to Titas Gas is successful.

Amount: Tk 40313.95

Passport No: 81361168

Fee:16.55

TxnId: 5OVJYZXF

18/10/2025 23:17",Ham,Real_Nagad
অভিনন্দন! আপনি নগদ লাকি ড্র-তে 40255.75 টাকা জিতেছেন। পেতে: http://nagad-support-nagad.com,Spam,Phishing
Transaction of Tk 26179.0 from 01864746618 is reversed. Balance Tk 71386.54. TrxID WA7SQRF1 at 14/06/2025 07:21,Ham,Real_Nagad
Apnar Nagad theke 26743.81 tk suspicious transaction. Cancel korte OTP: 01778887494,Spam,Phishing
আপনার নগদ থেকে 5621.56 টাকা 01867748105 নম্বরে পাঠানো হয়েছে। ভুল হলে কল করুন: 01867748105।,Spam,Fake_Transaction
ALERT: Your Nagad account is suspended. Call 01353954480 immediately to restore.,Spam,Phishing
সতর্কতা! আপনার নগদ অ্যাকাউন্ট বন্ধ হওয়ার আগে যাচাই করুন। এখনই কল করুন: 01532528505।,Spam,Phishing
Nagad detected login from unknown device. Secure your account: 01741398710.,Spam,Phishing
আপনার নগদ থেকে 5621.56 টাকা 01867748105 নম্বরে পাঠানো হয়েছে। ভুল হলে কল করুন: 01867748105।,Spam,Fake_Transaction
"Refund Request Successful.

Freeze Amount: Tk 31927.62

TrxID: 9RE2Q6JX

18/07/2025 05:23",Ham,Real_Nagad
Notification Temp S 04 for Trxn,Ham,Real_Nagad
"Disbursement Received.

Ref: Stipend May

Amount: Tk 23356.01

TrnxID: N15IKPQA

Balance:TK 15729.73

11/02/2025 18:51",Ham,Real_Nagad
"Disbursement Received.

Reference: Salary April 2026

Amount: Tk 47666.76

TxnID: 6D43I21P

Balance: Tk 45200.43

07/05/2026 01:26",Ham,Real_Nagad
"Send Money 

Amount: Tk 34340.28

TxnID: UXCZAUMA",Ham,Real_Nagad
Nagad refund of 19628.6 BDT is waiting for you. Confirm PIN with agent: 01461284441.,Spam,Fake_Refund
"Mobile Recharge Failed.

Amount: Tk 37416.52

Mobile: 01401710721

TrxID: OY7DV7C9

Bal: Tk 15980.48

27/11/2025 14:51",Ham,Real_Nagad
"Bill Payment to GP Internet is successful.

Amount: Tk 16040.96

Fee : 15.07

TxnId: YJ4UWHK8

31/01/2025 10:09",Ham,Real_Nagad
"Donation sent.

To: Pathao

Amount: Tk 17465.01

TxnID: 5PUU62RZ

Balance: Tk 48535.63

26/01/2026 04:32",Ham,Real_Nagad
"Congratulations! You have received Reward for DPS Referral to 01589621929.

Tk 388.45.

TxnID: A57E8A54

Bal: Tk 16845.03",Ham,Real_Nagad
Congratulations! You won 48767.21 BDT in Nagad Lucky Draw! Call 01856703819 to claim.,Spam,Lottery
জরুরি: নগদ থেকে 21366.4 টাকা অজানা নম্বরে ট্রান্সফার হচ্ছে। বাতিল করুন: 01705792192।,Spam,Phishing
Nagad: 18833.59 tk refund pending apnar account e. Receive korte OTP deen: 01434014262.,Spam,Fake_Refund
Nagad lucky winner apni! 31135.67 tk nite WhatsApp korun: 01410879217.,Spam,Phishing
নগদ সিকিউরিটি: আপনার OTP শেয়ার করুন এজেন্টের সাথে: 01439967818।,Spam,Phishing
অভিনন্দন! আপনি নগদ লাকি ড্র-তে 42223.24 টাকা জিতেছেন। পেতে: http://nagad-helpdesk.com,Spam,Phishing
অভিনন্দন! নগদ লটারিতে আপনি 27711.03 টাকা জিতেছেন। এখনই কল করুন: 01835407010।,Spam,Lottery
ALERT: Your Nagad account is suspended. Call 01962659626 immediately to restore.,Spam,Phishing
"B2B Transfer Successful.

Amount: Tk 23007.33

Receiver: 01569892588

TrxID: LXSY4VY3

Bal: Tk 62308.03

06/05/2025 07:52",Ham,Real_Nagad
Your Nagad account will be BLOCKED. Verify at: http://nagad-mfs-reward.com,Spam,Phishing
"EMI paid successfully.

DPS A/C: DPS272420

EMI: Tk 1126.42

Depositor: 01896047478

TxnId: NTPBPZCD

DPS Balance: Tk 70246.93

07/12/2025 11:30",Ham,Real_Nagad
"Congrats! You've received Cash-Back 55.01 BDT for saving Nagad Account for future payment.

Bal: Tk 28953.29

TXN ID: MCMCOCO2

22/12/2025 04:35

For Details Call 16167",Ham,Real_Nagad
আপনার নগদ থেকে 25411.13 টাকা রিফান্ড পেন্ডিং। গ্রহণ করতে কল করুন: 01581253613।,Spam,Fake_Refund
"Send Money Tk 9235.12 to 01312277230 has been successful.

Please ask recipient to open Nagad account within 54 hours for availing the amount.",Ham,Real_Nagad
"KYC Commission Received for Customer Registration.

Amount: Tk 32314.28

TrxID: SFH4GG24

Bal: Tk 68140.74

23/04/2026 17:29",Ham,Real_Nagad
অভিনন্দন! নগদ লটারিতে আপনি 17058.58 টাকা জিতেছেন। এখনই কল করুন: 01824539375।,Spam,Lottery
"Mobile Recharge Request Received.

Amount: Tk 28212.15

TrxID: KWQVR1H6

Bal: Tk 60886.48

06/05/2025 04:00",Ham,Real_Nagad
Nagad lucky winner apni! 46269.31 tk nite WhatsApp korun: 01876787850.,Spam,Phishing
Nagad Security: Unusual activity detected. Share OTP with agent 01517777119 now.,Spam,Phishing
Notification Template Body for S 01,Ham,Real_Nagad
Nagad account verify na korle block hobe. Ekhoni call korun: 01623941114.,Spam,Phishing
"Dear user, you have a PENDING refund of 31329.16 BDT from Nagad. Call 01422697292 to receive.",Spam,Fake_Refund
ALERT: Your Nagad account is suspended. Call 01962659626 immediately to restore.,Spam,Phishing
Nagad diche 11379.75 tk Eid gift! Pote verify korun: http://nagad-helpdesk.net.,Spam,Phishing
নগদ হেল্পলাইন: আপনার অ্যাকাউন্ট ব্লক হওয়া থেকে বাঁচাতে: http://rocket-bd-nagad.net,Spam,Phishing
সাবধান! কেউ আপনার নগদ অ্যাকাউন্টে ঢোকার চেষ্টা করছে। কল করুন: 01922570845।,Spam,Phishing
Nagad special reward: 49269.32 tk apnar jonno ready! Claim korte: 01558112389.,Spam,Lottery
"B2B Received. 

Amount: Tk 27318.46

Sender: 01766965653

TrxID: SUY5LV92

Bal: Tk 4134.18

05/03/2025 19:08",Ham,Real_Nagad
